订单号,客户,交付日,余额元,备注
OPENING-AR,模拟历史客户,2022-12-31,1400000,期初历史应收；当前未清偿，需核实可收回性
KS-INJECTION-1000-S-202601-1,模拟下游1,2026-01-10,16262,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202601-2,模拟下游2,2026-01-10,15783,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202601-3,模拟下游3,2026-01-10,15783,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202602-1,模拟下游1,2026-02-10,14636,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202602-2,模拟下游2,2026-02-10,14205,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202602-3,模拟下游3,2026-02-10,14205,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202603-1,模拟下游1,2026-03-10,20734,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202603-2,模拟下游2,2026-03-10,20124,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202603-3,模拟下游3,2026-03-10,20124,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202604-1,模拟下游1,2026-04-10,21547,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202604-2,模拟下游2,2026-04-10,20913,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202604-3,模拟下游3,2026-04-10,20913,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202605-1,模拟下游1,2026-05-10,22360,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202605-2,模拟下游2,2026-05-10,21702,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202605-3,模拟下游3,2026-05-10,21702,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202606-1,模拟下游1,2026-06-10,21344,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202606-2,模拟下游2,2026-06-10,20716,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202606-3,模拟下游3,2026-06-10,20716,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202607-1,模拟下游1,2026-07-10,21953,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202607-2,模拟下游2,2026-07-10,21308,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202607-3,模拟下游3,2026-07-10,21308,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202608-1,模拟下游1,2026-08-10,21953,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202608-2,模拟下游2,2026-08-10,21308,本期未收尾款；历史尾款持续未清需解释
KS-INJECTION-1000-S-202608-3,模拟下游3,2026-08-10,21308,本期未收尾款；历史尾款持续未清需解释
