月份,销项计税额元,销项税元,进项计税额元,进项税元,增值税缴付元,税前利润元,所得税元,模拟缴付日,口径
2023-01,3360000,436800,1444800,187824,248976,662200,165550,2023-01-25,当月收付简化；不代表正式税表
2023-02,3024000,393120,1300320,169042,224078,491480,122870,2023-02-25,当月收付简化；不代表正式税表
2023-03,4284000,556920,1842120,239476,317444,1131680,282920,2023-03-25,当月收付简化；不代表正式税表
2023-04,4452000,578760,1914360,248867,329893,1217040,304260,2023-04-25,当月收付简化；不代表正式税表
2023-05,4620000,600600,1986600,258258,342342,1302400,325600,2023-05-25,当月收付简化；不代表正式税表
2023-06,4410000,573300,1896300,246519,326781,1195700,298925,2023-06-25,当月收付简化；不代表正式税表
2023-07,4536000,589680,1950480,253562,336118,1259720,314930,2023-07-25,当月收付简化；不代表正式税表
2023-08,4536000,589680,1950480,253562,336118,1259720,314930,2023-08-25,当月收付简化；不代表正式税表
2023-09,4368000,567840,1878240,244171,323669,1174360,293590,2023-09-25,当月收付简化；不代表正式税表
2023-10,4284000,556920,1842120,239476,317444,1131680,282920,2023-10-25,当月收付简化；不代表正式税表
2023-11,4452000,578760,1914360,248867,329893,1217040,304260,2023-11-25,当月收付简化；不代表正式税表
2023-12,4620000,600600,1986600,258258,342342,1302400,325600,2023-12-25,当月收付简化；不代表正式税表
2024-01,3628800,471744,1560384,202850,268894,815416,203854,2024-01-25,当月收付简化；不代表正式税表
2024-02,3265920,424570,1404346,182565,242005,629374,157344,2024-02-25,当月收付简化；不代表正式税表
2024-03,4626720,601474,1989490,258634,342840,1327030,331758,2024-03-25,当月收付简化；不代表正式税表
2024-04,4808160,625061,2067509,268776,356285,1420051,355013,2024-04-25,当月收付简化；不代表正式税表
2024-05,4989600,648648,2145528,278919,369729,1513072,378268,2024-05-25,当月收付简化；不代表正式税表
2024-06,4762800,619164,2048004,266241,352923,1396796,349199,2024-06-25,当月收付简化；不代表正式税表
2024-07,4898880,636854,2106518,273847,363007,1466562,366640,2024-07-25,当月收付简化；不代表正式税表
2024-08,4898880,636854,2106518,273847,363007,1466562,366640,2024-08-25,当月收付简化；不代表正式税表
2024-09,4717440,613267,2028499,263705,349562,1373541,343385,2024-09-25,当月收付简化；不代表正式税表
2024-10,4626720,601474,1989490,258634,342840,1327030,331758,2024-10-25,当月收付简化；不代表正式税表
2024-11,4808160,625061,2067509,268776,356285,1420051,355013,2024-11-25,当月收付简化；不代表正式税表
2024-12,4989600,648648,2145528,278919,369729,1513072,378268,2024-12-25,当月收付简化；不代表正式税表
2025-01,3919104,509484,1685215,219078,290406,980889,245222,2025-01-25,当月收付简化；不代表正式税表
2025-02,3527196,458535,1516694,197170,261365,778302,194576,2025-02-25,当月收付简化；不代表正式税表
2025-03,4996860,649592,2148650,279324,370268,1538010,384502,2025-03-25,当月收付简化；不代表正式税表
2025-04,5192808,675065,2232907,290278,384787,1639301,409825,2025-04-25,当月收付简化；不代表正式税表
2025-05,5388768,700540,2317170,301232,399308,1740598,435150,2025-05-25,当月收付简化；不代表正式税表
2025-06,5143824,668697,2211844,287540,381157,1613980,403495,2025-06-25,当月收付简化；不代表正式税表
2025-07,5290788,687802,2275039,295755,392047,1689949,422487,2025-07-25,当月收付简化；不代表正式税表
2025-08,5290788,687802,2275039,295755,392047,1689949,422487,2025-08-25,当月收付简化；不代表正式税表
2025-09,5094840,662329,2190781,284802,377527,1588659,397165,2025-09-25,当月收付简化；不代表正式税表
2025-10,4996860,649592,2148650,279324,370268,1538010,384502,2025-10-25,当月收付简化；不代表正式税表
2025-11,5192808,675065,2232907,290278,384787,1639301,409825,2025-11-25,当月收付简化；不代表正式税表
2025-12,5388768,700540,2317170,301232,399308,1740598,435150,2025-12-25,当月收付简化；不代表正式税表
2026-01,4232628,550242,1820030,236604,313638,1159598,289900,2026-01-25,当月收付简化；不代表正式税表
2026-02,3809364,495217,1638027,212944,282273,939137,234784,2026-02-25,当月收付简化；不代表正式税表
2026-03,5396604,701559,2320540,301670,399889,1765864,441466,2026-03-25,当月收付简化；不代表正式税表
2026-04,5608236,729071,2411541,313500,415571,1876095,469024,2026-04-25,当月收付简化；不代表正式税表
2026-05,5819868,756583,2502543,325331,431252,1986325,496581,2026-05-25,当月收付简化；不代表正式税表
2026-06,5555328,722193,2388791,310543,411650,1848537,462134,2026-06-25,当月收付简化；不代表正式税表
2026-07,5714052,742827,2457042,319415,423412,1931210,482802,2026-07-25,当月收付简化；不代表正式税表
2026-08,5714052,742827,2457042,319415,423412,1931210,482802,2026-08-25,当月收付简化；不代表正式税表
