序列号,品牌场景,模拟型号,验收日,原值元,累计折旧元,净值元,权属声明,核验状态,合同号,发票号,付款号,验收号,地点,标识
SYN-KS-INJECTION-1000-EQ-01,华美达,SIM-注塑制品生产-01,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-01-INV,SYN-KS-INJECTION-1000-EQ-01-PAY,SYN-KS-INJECTION-1000-EQ-01-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-02,华美达,SIM-注塑制品生产-02,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-02-INV,SYN-KS-INJECTION-1000-EQ-02-PAY,SYN-KS-INJECTION-1000-EQ-02-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-03,华美达,SIM-注塑制品生产-03,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-03-INV,SYN-KS-INJECTION-1000-EQ-03-PAY,SYN-KS-INJECTION-1000-EQ-03-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-04,华美达,SIM-注塑制品生产-04,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-04-INV,SYN-KS-INJECTION-1000-EQ-04-PAY,SYN-KS-INJECTION-1000-EQ-04-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-05,华美达,SIM-注塑制品生产-05,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-05-INV,SYN-KS-INJECTION-1000-EQ-05-PAY,SYN-KS-INJECTION-1000-EQ-05-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-06,华美达,SIM-注塑制品生产-06,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-06-INV,SYN-KS-INJECTION-1000-EQ-06-PAY,SYN-KS-INJECTION-1000-EQ-06-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-07,华美达,SIM-注塑制品生产-07,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-07-INV,SYN-KS-INJECTION-1000-EQ-07-PAY,SYN-KS-INJECTION-1000-EQ-07-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-08,华美达,SIM-注塑制品生产-08,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-08-INV,SYN-KS-INJECTION-1000-EQ-08-PAY,SYN-KS-INJECTION-1000-EQ-08-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-09,华美达,SIM-注塑制品生产-09,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-09-INV,SYN-KS-INJECTION-1000-EQ-09-PAY,SYN-KS-INJECTION-1000-EQ-09-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-10,华美达,SIM-注塑制品生产-10,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-10-INV,SYN-KS-INJECTION-1000-EQ-10-PAY,SYN-KS-INJECTION-1000-EQ-10-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-11,华美达,SIM-注塑制品生产-11,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-11-INV,SYN-KS-INJECTION-1000-EQ-11-PAY,SYN-KS-INJECTION-1000-EQ-11-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-12,华美达,SIM-注塑制品生产-12,2022-12-01,2000000,609231,1390769,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-12-INV,SYN-KS-INJECTION-1000-EQ-12-PAY,SYN-KS-INJECTION-1000-EQ-12-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
SYN-KS-INJECTION-1000-EQ-13,华美达,SIM-注塑制品生产-13,2022-12-01,2000000,609228,1390772,self-owned,待人工核验,KS-INJECTION-1000-EQ-CONTRACT,SYN-KS-INJECTION-1000-EQ-13-INV,SYN-KS-INJECTION-1000-EQ-13-PAY,SYN-KS-INJECTION-1000-EQ-13-ACCEPT,喀什模拟厂区A栋,SYNTHETIC
