月份,收入元,原料成本元,人工元,电费元,管理销售元,折旧元,利息元,所得税元,净利润元,客户回款元,原料采购元,增值税缴付元,现金元,应收元,存货元,固定资产净额元,负债元,权益元,资产元,经营净现金元,分红筹资流出元,现金净变动元
2023-01,1840000,920000,350000,120000,180000,90000,20000,40000,120000,2068804,920000,119600,1699604,1010396,1200000,13910000,4900000,12920000,17820000,199604,0,199604
2023-02,1656000,828000,350000,108000,180000,90000,20000,20000,60000,1861923,828000,107640,1840247,1019753,1200000,13820000,4900000,12980000,17880000,140643,0,140643
2023-03,2346000,1173000,350000,153000,180000,90000,20000,95000,285000,2637725,1173000,152490,2201992,1033008,1200000,13730000,4900000,13265000,18165000,361745,0,361745
2023-04,2438000,1219000,350000,159000,180000,90000,20000,105000,315000,2741165,1219000,158470,2593217,1046783,1200000,13640000,4900000,13580000,18480000,391225,0,391225
2023-05,2530000,1265000,350000,165000,180000,90000,20000,115000,345000,2844605,1265000,164450,3013922,1061078,1200000,13550000,4900000,13925000,18825000,420705,0,420705
2023-06,2415000,1207500,350000,157500,180000,90000,20000,102500,307500,2715305,1207500,156975,3397777,1074723,1200000,13460000,4900000,14232500,19132500,383855,0,383855
2023-07,2484000,1242000,350000,162000,180000,90000,20000,110000,330000,2792885,1242000,161460,3803742,1088758,1200000,13370000,4900000,14562500,19462500,405965,0,405965
2023-08,2484000,1242000,350000,162000,180000,90000,20000,110000,330000,2792885,1242000,161460,4209707,1102793,1200000,13280000,4900000,14892500,19792500,405965,0,405965
2023-09,2392000,1196000,350000,156000,180000,90000,20000,100000,300000,2689445,1196000,155480,4586192,1116308,1200000,13190000,4900000,15192500,20092500,376485,0,376485
2023-10,2346000,1173000,350000,153000,180000,90000,20000,95000,285000,2637725,1173000,152490,4947937,1129563,1200000,13100000,4900000,15477500,20377500,361745,0,361745
2023-11,2438000,1219000,350000,159000,180000,90000,20000,105000,315000,2741165,1219000,158470,5339162,1143338,1200000,13010000,4900000,15792500,20692500,391225,0,391225
2023-12,2530000,1265000,350000,165000,180000,90000,20000,115000,345000,2844605,1265000,164450,2000000,1157633,1200000,12920000,4900000,12377633,17277633,420705,3759867,-3339162
2024-01,1932000,966000,350000,120000,180000,90000,20000,51500,154500,2172244,966000,125580,2233584,1168549,1200000,12830000,4900000,12532133,17432133,233584,0,233584
2024-02,1738800,869400,350000,108000,180000,90000,20000,30350,91050,1955020,869400,113022,2404810,1178373,1200000,12740000,4900000,12623183,17523183,171226,0,171226
2024-03,2463300,1231650,350000,153000,180000,90000,20000,109662,328988,2769612,1231650,160115,2809881,1192290,1200000,12650000,4900000,12952171,17852171,405071,0,405071
2024-04,2559900,1279950,350000,159000,180000,90000,20000,120238,360712,2878224,1279950,166393,3246130,1206753,1200000,12560000,4900000,13312883,18212883,436249,0,436249
2024-05,2656500,1328250,350000,165000,180000,90000,20000,130812,392438,2986836,1328250,172673,3713559,1221762,1200000,12470000,4900000,13705321,18605321,467429,0,467429
2024-06,2535750,1267875,350000,157500,180000,90000,20000,117594,352781,2851071,1267875,164824,4142013,1236089,1200000,12380000,4900000,14058102,18958102,428454,0,428454
2024-07,2608200,1304100,350000,162000,180000,90000,20000,125525,376575,2932529,1304100,169533,4593851,1250826,1200000,12290000,4900000,14434677,19334677,451838,0,451838
2024-08,2608200,1304100,350000,162000,180000,90000,20000,125525,376575,2932529,1304100,169533,5045689,1265563,1200000,12200000,4900000,14811252,19711252,451838,0,451838
2024-09,2511600,1255800,350000,156000,180000,90000,20000,114950,344850,2823917,1255800,163254,5466348,1279754,1200000,12110000,4900000,15156102,20056102,420659,0,420659
2024-10,2463300,1231650,350000,153000,180000,90000,20000,109662,328988,2769612,1231650,160115,5871419,1293671,1200000,12020000,4900000,15485090,20385090,405071,0,405071
2024-11,2559900,1279950,350000,159000,180000,90000,20000,120238,360712,2878224,1279950,166393,6307668,1308134,1200000,11930000,4900000,15845802,20745802,436249,0,436249
2024-12,2656500,1328250,350000,165000,180000,90000,20000,130812,392438,2986836,1328250,172673,2000000,1323143,1200000,11840000,4900000,11463143,16363143,467429,4775097,-4307668
2025-01,2028600,1014300,350000,120000,180000,90000,20000,63575,190725,2280856,1014300,131859,2269263,1334605,1200000,11750000,4900000,11653868,16553868,269263,0,269263
2025-02,1825740,912870,350000,108000,180000,90000,20000,41218,123652,2052771,912870,118673,2472600,1344920,1200000,11660000,4900000,11777520,16677520,203337,0,203337
2025-03,2586580,1293290,350000,153000,180000,90000,20000,125072,375218,2908220,1293290,168127,2923203,1359535,1200000,11570000,4900000,12152738,17052738,450603,0,450603
2025-04,2687780,1343890,350000,159000,180000,90000,20000,136222,408668,3022006,1343890,174705,3406686,1374720,1200000,11480000,4900000,12561406,17461406,483483,0,483483
2025-05,2789440,1394720,350000,165000,180000,90000,20000,147430,442290,3136307,1394720,181313,3923216,1390480,1200000,11390000,4900000,13003696,17903696,516530,0,516530
2025-06,2662480,1331240,350000,157500,180000,90000,20000,133435,400305,2993559,1331240,173061,4398478,1405523,1200000,11300000,4900000,13404001,18304001,475262,0,475262
2025-07,2738610,1369305,350000,162000,180000,90000,20000,141826,425479,3079156,1369305,178009,4898484,1420996,1200000,11210000,4900000,13829480,18729480,500006,0,500006
2025-08,2738610,1369305,350000,162000,180000,90000,20000,141826,425479,3079156,1369305,178009,5398490,1436469,1200000,11120000,4900000,14254959,19154959,500006,0,500006
2025-09,2637180,1318590,350000,156000,180000,90000,20000,130648,391942,2965113,1318590,171416,5865532,1451369,1200000,11030000,4900000,14646901,19546901,467042,0,467042
2025-10,2586580,1293290,350000,153000,180000,90000,20000,125072,375218,2908220,1293290,168127,6316135,1465984,1200000,10940000,4900000,15022119,19922119,450603,0,450603
2025-11,2687780,1343890,350000,159000,180000,90000,20000,136222,408668,3022006,1343890,174705,6799618,1481169,1200000,10850000,4900000,15430787,20330787,483483,0,483483
2025-12,2789440,1394720,350000,165000,180000,90000,20000,147430,442290,3136307,1394720,181313,2000000,1496929,1200000,10760000,4900000,10556929,15456929,516530,5316148,-4799618
2026-01,2130030,1065015,350000,120000,180000,90000,20000,76254,228761,2286587,1065015,138452,2198414,1617276,1200000,10670000,4900000,10785690,15685690,198414,0,198414
2026-02,1917050,958525,350000,108000,180000,90000,20000,52631,157894,2057953,958525,124608,2337995,1725589,1200000,10580000,4900000,10943584,15843584,139581,0,139581
2026-03,2715840,1357920,350000,153000,180000,90000,20000,141230,423690,2915454,1357920,176529,2698240,1879034,1200000,10490000,4900000,11367274,16267274,360245,0,360245
2026-04,2822330,1411165,350000,159000,180000,90000,20000,153041,459124,3029771,1411165,183452,3087902,2038496,1200000,10400000,4900000,11826398,16726398,389662,0,389662
2026-05,2928820,1464410,350000,165000,180000,90000,20000,164852,494558,3144089,1464410,190374,3506982,2203974,1200000,10310000,4900000,12320956,17220956,419080,0,419080
2026-06,2795650,1397825,350000,157500,180000,90000,20000,150081,450244,3001129,1397825,181717,3889271,2361929,1200000,10220000,4900000,12771200,17671200,382289,0,382289
2026-07,2875460,1437730,350000,162000,180000,90000,20000,158932,476798,3086807,1437730,186905,4293606,2524392,1200000,10130000,4900000,13247998,18147998,404335,0,404335
2026-08,2875460,1437730,350000,162000,180000,90000,20000,158932,476798,3086807,1437730,186905,4697941,2686855,1200000,10040000,4900000,13724796,18624796,404335,0,404335
