月份,销项计税额元,销项税元,进项计税额元,进项税元,增值税缴付元,税前利润元,所得税元,模拟缴付日,口径
2023-01,1840000,239200,920000,119600,119600,160000,40000,2023-01-25,当月收付简化；不代表正式税表
2023-02,1656000,215280,828000,107640,107640,80000,20000,2023-02-25,当月收付简化；不代表正式税表
2023-03,2346000,304980,1173000,152490,152490,380000,95000,2023-03-25,当月收付简化；不代表正式税表
2023-04,2438000,316940,1219000,158470,158470,420000,105000,2023-04-25,当月收付简化；不代表正式税表
2023-05,2530000,328900,1265000,164450,164450,460000,115000,2023-05-25,当月收付简化；不代表正式税表
2023-06,2415000,313950,1207500,156975,156975,410000,102500,2023-06-25,当月收付简化；不代表正式税表
2023-07,2484000,322920,1242000,161460,161460,440000,110000,2023-07-25,当月收付简化；不代表正式税表
2023-08,2484000,322920,1242000,161460,161460,440000,110000,2023-08-25,当月收付简化；不代表正式税表
2023-09,2392000,310960,1196000,155480,155480,400000,100000,2023-09-25,当月收付简化；不代表正式税表
2023-10,2346000,304980,1173000,152490,152490,380000,95000,2023-10-25,当月收付简化；不代表正式税表
2023-11,2438000,316940,1219000,158470,158470,420000,105000,2023-11-25,当月收付简化；不代表正式税表
2023-12,2530000,328900,1265000,164450,164450,460000,115000,2023-12-25,当月收付简化；不代表正式税表
2024-01,1932000,251160,966000,125580,125580,206000,51500,2024-01-25,当月收付简化；不代表正式税表
2024-02,1738800,226044,869400,113022,113022,121400,30350,2024-02-25,当月收付简化；不代表正式税表
2024-03,2463300,320229,1231650,160114,160115,438650,109662,2024-03-25,当月收付简化；不代表正式税表
2024-04,2559900,332787,1279950,166394,166393,480950,120238,2024-04-25,当月收付简化；不代表正式税表
2024-05,2656500,345345,1328250,172672,172673,523250,130812,2024-05-25,当月收付简化；不代表正式税表
2024-06,2535750,329648,1267875,164824,164824,470375,117594,2024-06-25,当月收付简化；不代表正式税表
2024-07,2608200,339066,1304100,169533,169533,502100,125525,2024-07-25,当月收付简化；不代表正式税表
2024-08,2608200,339066,1304100,169533,169533,502100,125525,2024-08-25,当月收付简化；不代表正式税表
2024-09,2511600,326508,1255800,163254,163254,459800,114950,2024-09-25,当月收付简化；不代表正式税表
2024-10,2463300,320229,1231650,160114,160115,438650,109662,2024-10-25,当月收付简化；不代表正式税表
2024-11,2559900,332787,1279950,166394,166393,480950,120238,2024-11-25,当月收付简化；不代表正式税表
2024-12,2656500,345345,1328250,172672,172673,523250,130812,2024-12-25,当月收付简化；不代表正式税表
2025-01,2028600,263718,1014300,131859,131859,254300,63575,2025-01-25,当月收付简化；不代表正式税表
2025-02,1825740,237346,912870,118673,118673,164870,41218,2025-02-25,当月收付简化；不代表正式税表
2025-03,2586580,336255,1293290,168128,168127,500290,125072,2025-03-25,当月收付简化；不代表正式税表
2025-04,2687780,349411,1343890,174706,174705,544890,136222,2025-04-25,当月收付简化；不代表正式税表
2025-05,2789440,362627,1394720,181314,181313,589720,147430,2025-05-25,当月收付简化；不代表正式税表
2025-06,2662480,346122,1331240,173061,173061,533740,133435,2025-06-25,当月收付简化；不代表正式税表
2025-07,2738610,356019,1369305,178010,178009,567305,141826,2025-07-25,当月收付简化；不代表正式税表
2025-08,2738610,356019,1369305,178010,178009,567305,141826,2025-08-25,当月收付简化；不代表正式税表
2025-09,2637180,342833,1318590,171417,171416,522590,130648,2025-09-25,当月收付简化；不代表正式税表
2025-10,2586580,336255,1293290,168128,168127,500290,125072,2025-10-25,当月收付简化；不代表正式税表
2025-11,2687780,349411,1343890,174706,174705,544890,136222,2025-11-25,当月收付简化；不代表正式税表
2025-12,2789440,362627,1394720,181314,181313,589720,147430,2025-12-25,当月收付简化；不代表正式税表
2026-01,2130030,276904,1065015,138452,138452,305015,76254,2026-01-25,当月收付简化；不代表正式税表
2026-02,1917050,249216,958525,124608,124608,210525,52631,2026-02-25,当月收付简化；不代表正式税表
2026-03,2715840,353059,1357920,176530,176529,564920,141230,2026-03-25,当月收付简化；不代表正式税表
2026-04,2822330,366903,1411165,183451,183452,612165,153041,2026-04-25,当月收付简化；不代表正式税表
2026-05,2928820,380747,1464410,190373,190374,659410,164852,2026-05-25,当月收付简化；不代表正式税表
2026-06,2795650,363434,1397825,181717,181717,600325,150081,2026-06-25,当月收付简化；不代表正式税表
2026-07,2875460,373810,1437730,186905,186905,635730,158932,2026-07-25,当月收付简化；不代表正式税表
2026-08,2875460,373810,1437730,186905,186905,635730,158932,2026-08-25,当月收付简化；不代表正式税表
