订单号,客户,交付日,余额元,备注
OPENING-AR,模拟历史客户,2022-12-31,1000000,期初历史应收；当前未清偿，需核实可收回性
KS-TEXTILE-200-S-202301-1,模拟下游1,2023-01-10,10577,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202301-2,模拟下游2,2023-01-10,4068,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202301-3,模拟下游3,2023-01-10,1627,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202302-1,模拟下游1,2023-02-10,9519,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202302-2,模拟下游2,2023-02-10,3661,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202302-3,模拟下游3,2023-02-10,1464,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202303-1,模拟下游1,2023-03-10,13485,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202303-2,模拟下游2,2023-03-10,5187,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202303-3,模拟下游3,2023-03-10,2075,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202304-1,模拟下游1,2023-04-10,14014,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202304-2,模拟下游2,2023-04-10,5390,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202304-3,模拟下游3,2023-04-10,2156,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202305-1,模拟下游1,2023-05-10,14543,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202305-2,模拟下游2,2023-05-10,5594,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202305-3,模拟下游3,2023-05-10,2237,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202306-1,模拟下游1,2023-06-10,13882,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202306-2,模拟下游2,2023-06-10,5339,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202306-3,模拟下游3,2023-06-10,2136,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202307-1,模拟下游1,2023-07-10,14279,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202307-2,模拟下游2,2023-07-10,5492,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202307-3,模拟下游3,2023-07-10,2197,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202308-1,模拟下游1,2023-08-10,14279,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202308-2,模拟下游2,2023-08-10,5492,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202308-3,模拟下游3,2023-08-10,2197,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202309-1,模拟下游1,2023-09-10,13750,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202309-2,模拟下游2,2023-09-10,5288,本期未收尾款；历史尾款持续未清需解释
