月份,收入元,原料成本元,人工元,电费元,管理销售元,折旧元,利息元,所得税元,净利润元,客户回款元,原料采购元,增值税缴付元,现金元,应收元,存货元,固定资产净额元,负债元,权益元,资产元,经营净现金元,分红筹资流出元,现金净变动元
2023-01,1440010,936006,140000,88000,90000,60000,32000,23501,70503,1610939,936006,65520,914231,1016272,800000,7940000,5800000,4870503,10670503,114231,0,114231
2023-02,1295998,842399,140000,79200,90000,60000,32000,13100,39299,1449834,842399,58968,998886,1030916,800000,7880000,5800000,4909802,10709802,84655,0,84655
2023-03,1836010,1193406,140000,112200,90000,60000,32000,52101,156303,2053944,1193406,83538,1194442,1051663,800000,7820000,5800000,5066105,10866105,195556,0,195556
2023-04,1907994,1240196,140000,116600,90000,60000,32000,57300,171898,2134473,1240196,86814,1404780,1073223,800000,7760000,5800000,5238003,11038003,210338,0,210338
2023-05,1980000,1287000,140000,121000,90000,60000,32000,62500,187500,2215026,1287000,90090,1629906,1095597,800000,7700000,5800000,5425503,11225503,225126,0,225126
2023-06,1889998,1228499,140000,115500,90000,60000,32000,56000,167999,2114341,1228499,85995,1836548,1116954,800000,7640000,5800000,5593502,11393502,206642,0,206642
2023-07,1944008,1263605,140000,118800,90000,60000,32000,59901,179702,2174761,1263605,88452,2054282,1138922,800000,7580000,5800000,5773204,11573204,217734,0,217734
2023-08,1944008,1263605,140000,118800,90000,60000,32000,59901,179702,2174761,1263605,88452,2272016,1160890,800000,7520000,5800000,5952906,11752906,217734,0,217734
2023-09,1872002,1216801,140000,114400,90000,60000,32000,54700,164101,2094209,1216801,85176,2474964,1182043,800000,7460000,5800000,6117007,11917007,202948,0,202948
2023-10,1836010,1193406,140000,112200,90000,60000,32000,52101,156303,2053944,1193406,83538,2670520,1202790,800000,7400000,5800000,6273310,12073310,195556,0,195556
2023-11,1907994,1240196,140000,116600,90000,60000,32000,57300,171898,2134473,1240196,86814,2880858,1224350,800000,7340000,5800000,6445208,12245208,210338,0,210338
2023-12,1980000,1287000,140000,121000,90000,60000,32000,62500,187500,2215026,1287000,90090,3105984,1246724,800000,7280000,5800000,6632708,12432708,225126,0,225126
2024-01,1324796,861117,140000,88000,90000,60000,32000,13420,40259,1482048,861117,60278,3191272,1261695,800000,7220000,5800000,6672967,12472967,85288,0,85288
2024-02,1192312,775003,140000,79200,90000,60000,32000,4027,12082,1333840,775003,54251,3249881,1275168,800000,7160000,5800000,6685049,12485049,58609,0,58609
2024-03,1689116,1097925,140000,112200,90000,60000,32000,39248,117743,1889613,1097925,76855,3408536,1294256,800000,7100000,5800000,6802792,12602792,158655,0,158655
2024-04,1755358,1140983,140000,116600,90000,60000,32000,43944,131831,1963719,1140983,79869,3580531,1314092,800000,7040000,5800000,6934623,12734623,171995,0,171995
2024-05,1821600,1184040,140000,121000,90000,60000,32000,48640,145920,2037824,1184040,82883,3765867,1334676,800000,6980000,5800000,7080543,12880543,185336,0,185336
2024-06,1738792,1130215,140000,115500,90000,60000,32000,42769,128308,1945187,1130215,79115,3934527,1354324,800000,6920000,5800000,7208851,13008851,168660,0,168660
2024-07,1788490,1162518,140000,118800,90000,60000,32000,46293,138879,2000785,1162518,81377,4113197,1374533,800000,6860000,5800000,7347730,13147730,178670,0,178670
2024-08,1788490,1162518,140000,118800,90000,60000,32000,46293,138879,2000785,1162518,81377,4291867,1394742,800000,6800000,5800000,7486609,13286609,178670,0,178670
2024-09,1722248,1119461,140000,114400,90000,60000,32000,41597,124790,1926679,1119461,78362,4457196,1414203,800000,6740000,5800000,7611399,13411399,165329,0,165329
2024-10,1689116,1097925,140000,112200,90000,60000,32000,39248,117743,1889613,1097925,76855,4615851,1433291,800000,6680000,5800000,7729142,13529142,158655,0,158655
2024-11,1755358,1140983,140000,116600,90000,60000,32000,43944,131831,1963719,1140983,79869,4787846,1453127,800000,6620000,5800000,7860973,13660973,171995,0,171995
2024-12,1821600,1184040,140000,121000,90000,60000,32000,48640,145920,2037824,1184040,82883,4973182,1473711,800000,6560000,5800000,8006893,13806893,185336,0,185336
2025-01,1218822,792234,140000,88000,90000,60000,32000,4147,12441,1363497,792234,55457,5031851,1487483,800000,6500000,5800000,8019334,13819334,58669,0,58669
2025-02,1096942,713012,140000,79200,90000,60000,32000,0,-17270,1227148,713012,49910,5062185,1499879,800000,6440000,5800000,8002064,13802064,30334,0,30334
