月份,销项计税额元,销项税元,进项计税额元,进项税元,增值税缴付元,税前利润元,所得税元,模拟缴付日,口径
2023-01,1440010,187201,936006,121681,65520,94004,23501,2023-01-25,当月收付简化；不代表正式税表
2023-02,1295998,168480,842399,109512,58968,52399,13100,2023-02-25,当月收付简化；不代表正式税表
2023-03,1836010,238681,1193406,155143,83538,208404,52101,2023-03-25,当月收付简化；不代表正式税表
2023-04,1907994,248039,1240196,161225,86814,229198,57300,2023-04-25,当月收付简化；不代表正式税表
2023-05,1980000,257400,1287000,167310,90090,250000,62500,2023-05-25,当月收付简化；不代表正式税表
2023-06,1889998,245700,1228499,159705,85995,223999,56000,2023-06-25,当月收付简化；不代表正式税表
2023-07,1944008,252721,1263605,164269,88452,239603,59901,2023-07-25,当月收付简化；不代表正式税表
2023-08,1944008,252721,1263605,164269,88452,239603,59901,2023-08-25,当月收付简化；不代表正式税表
2023-09,1872002,243360,1216801,158184,85176,218801,54700,2023-09-25,当月收付简化；不代表正式税表
2023-10,1836010,238681,1193406,155143,83538,208404,52101,2023-10-25,当月收付简化；不代表正式税表
2023-11,1907994,248039,1240196,161225,86814,229198,57300,2023-11-25,当月收付简化；不代表正式税表
2023-12,1980000,257400,1287000,167310,90090,250000,62500,2023-12-25,当月收付简化；不代表正式税表
2024-01,1324796,172223,861117,111945,60278,53679,13420,2024-01-25,当月收付简化；不代表正式税表
2024-02,1192312,155001,775003,100750,54251,16109,4027,2024-02-25,当月收付简化；不代表正式税表
2024-03,1689116,219585,1097925,142730,76855,156991,39248,2024-03-25,当月收付简化；不代表正式税表
2024-04,1755358,228197,1140983,148328,79869,175775,43944,2024-04-25,当月收付简化；不代表正式税表
2024-05,1821600,236808,1184040,153925,82883,194560,48640,2024-05-25,当月收付简化；不代表正式税表
2024-06,1738792,226043,1130215,146928,79115,171077,42769,2024-06-25,当月收付简化；不代表正式税表
2024-07,1788490,232504,1162518,151127,81377,185172,46293,2024-07-25,当月收付简化；不代表正式税表
2024-08,1788490,232504,1162518,151127,81377,185172,46293,2024-08-25,当月收付简化；不代表正式税表
2024-09,1722248,223892,1119461,145530,78362,166387,41597,2024-09-25,当月收付简化；不代表正式税表
2024-10,1689116,219585,1097925,142730,76855,156991,39248,2024-10-25,当月收付简化；不代表正式税表
2024-11,1755358,228197,1140983,148328,79869,175775,43944,2024-11-25,当月收付简化；不代表正式税表
2024-12,1821600,236808,1184040,153925,82883,194560,48640,2024-12-25,当月收付简化；不代表正式税表
2025-01,1218822,158447,792234,102990,55457,16588,4147,2025-01-25,当月收付简化；不代表正式税表
2025-02,1096942,142602,713012,92692,49910,-17270,0,2025-02-25,当月收付简化；不代表正式税表
2025-03,1553992,202019,1010095,131312,70707,109697,27424,2025-03-25,当月收付简化；不代表正式税表
2025-04,1614932,209941,1049706,136462,73479,126626,31656,2025-04-25,当月收付简化；不代表正式税表
2025-05,1675872,217863,1089317,141611,76252,143555,35889,2025-05-25,当月收付简化；不代表正式税表
2025-06,1599686,207959,1039796,135173,72786,122390,30598,2025-06-25,当月收付简化；不代表正式税表
2025-07,1645402,213902,1069511,139036,74866,135091,33773,2025-07-25,当月收付简化；不代表正式税表
2025-08,1645402,213902,1069511,139036,74866,135091,33773,2025-08-25,当月收付简化；不代表正式税表
2025-09,1584462,205980,1029900,133887,72093,118162,29540,2025-09-25,当月收付简化；不代表正式税表
2025-10,1553992,202019,1010095,131312,70707,109697,27424,2025-10-25,当月收付简化；不代表正式税表
2025-11,1614932,209941,1049706,136462,73479,126626,31656,2025-11-25,当月收付简化；不代表正式税表
2025-12,1675872,217863,1089317,141611,76252,143555,35889,2025-12-25,当月收付简化；不代表正式税表
2026-01,1121318,145771,768103,99853,45918,-17539,0,2026-01-25,当月收付简化；不代表正式税表
2026-02,1009184,131194,691291,89868,41326,-47986,0,2026-02-25,当月收付简化；不代表正式税表
2026-03,1429670,185857,979324,127312,58545,66184,16546,2026-03-25,当月收付简化；不代表正式税表
2026-04,1485748,193147,1017737,132306,60841,81412,20353,2026-04-25,当月收付简化；不代表正式税表
2026-05,1541804,200435,1056136,137298,63137,96631,24158,2026-05-25,当月收付简化；不代表正式税表
2026-06,1471712,191323,1008123,131056,60267,77599,19400,2026-06-25,当月收付简化；不代表正式税表
2026-07,1513776,196791,1036936,134802,61989,89022,22256,2026-07-25,当月收付简化；不代表正式税表
2026-08,1513776,196791,1036936,134802,61989,89022,22256,2026-08-25,当月收付简化；不代表正式税表
