月份,收入元,原料成本元,人工元,电费元,管理销售元,折旧元,利息元,所得税元,净利润元,客户回款元,原料采购元,增值税缴付元,现金元,应收元,存货元,固定资产净额元,负债元,权益元,资产元,经营净现金元,分红筹资流出元,现金净变动元
2023-01,3360000,1444800,520000,208000,320000,180000,25000,165550,496650,3796800,1444800,248976,3676650,1400000,1800000,25820000,7400000,25296650,32696650,676650,0,676650
2023-02,3024000,1300320,520000,187200,320000,180000,25000,122870,368610,3417120,1300320,224078,4225260,1400000,1800000,25640000,7400000,25665260,33065260,548610,0,548610
2023-03,4284000,1842120,520000,265200,320000,180000,25000,282920,848760,4840920,1842120,317444,5254020,1400000,1800000,25460000,7400000,26514020,33914020,1028760,0,1028760
2023-04,4452000,1914360,520000,275600,320000,180000,25000,304260,912780,5030760,1914360,329893,6346800,1400000,1800000,25280000,7400000,27426800,34826800,1092780,0,1092780
2023-05,4620000,1986600,520000,286000,320000,180000,25000,325600,976800,5220600,1986600,342342,7503600,1400000,1800000,25100000,7400000,28403600,35803600,1156800,0,1156800
2023-06,4410000,1896300,520000,273000,320000,180000,25000,298925,896775,4983300,1896300,326781,8580375,1400000,1800000,24920000,7400000,29300375,36700375,1076775,0,1076775
2023-07,4536000,1950480,520000,280800,320000,180000,25000,314930,944790,5125680,1950480,336118,9705165,1400000,1800000,24740000,7400000,30245165,37645165,1124790,0,1124790
2023-08,4536000,1950480,520000,280800,320000,180000,25000,314930,944790,5125680,1950480,336118,10829955,1400000,1800000,24560000,7400000,31189955,38589955,1124790,0,1124790
2023-09,4368000,1878240,520000,270400,320000,180000,25000,293590,880770,4935840,1878240,323669,11890725,1400000,1800000,24380000,7400000,32070725,39470725,1060770,0,1060770
2023-10,4284000,1842120,520000,265200,320000,180000,25000,282920,848760,4840920,1842120,317444,12919485,1400000,1800000,24200000,7400000,32919485,40319485,1028760,0,1028760
2023-11,4452000,1914360,520000,275600,320000,180000,25000,304260,912780,5030760,1914360,329893,14012265,1400000,1800000,24020000,7400000,33832265,41232265,1092780,0,1092780
2023-12,4620000,1986600,520000,286000,320000,180000,25000,325600,976800,5220600,1986600,342342,4000000,1400000,1800000,23840000,7400000,23640000,31040000,1156800,11169065,-10012265
2024-01,3628800,1560384,520000,208000,320000,180000,25000,203854,611562,4100544,1560384,268894,4791562,1400000,1800000,23660000,7400000,24251562,31651562,791562,0,791562
2024-02,3265920,1404346,520000,187200,320000,180000,25000,157344,472030,3690490,1404346,242005,5443592,1400000,1800000,23480000,7400000,24723592,32123592,652030,0,652030
2024-03,4626720,1989490,520000,265200,320000,180000,25000,331758,995272,5228194,1989490,342840,6618864,1400000,1800000,23300000,7400000,25718864,33118864,1175272,0,1175272
2024-04,4808160,2067509,520000,275600,320000,180000,25000,355013,1065038,5433221,2067509,356285,7863902,1400000,1800000,23120000,7400000,26783902,34183902,1245038,0,1245038
2024-05,4989600,2145528,520000,286000,320000,180000,25000,378268,1134804,5638248,2145528,369729,9178706,1400000,1800000,22940000,7400000,27918706,35318706,1314804,0,1314804
2024-06,4762800,2048004,520000,273000,320000,180000,25000,349199,1047597,5381964,2048004,352923,10406303,1400000,1800000,22760000,7400000,28966303,36366303,1227597,0,1227597
2024-07,4898880,2106518,520000,280800,320000,180000,25000,366640,1099922,5535734,2106518,363007,11686225,1400000,1800000,22580000,7400000,30066225,37466225,1279922,0,1279922
2024-08,4898880,2106518,520000,280800,320000,180000,25000,366640,1099922,5535734,2106518,363007,12966147,1400000,1800000,22400000,7400000,31166147,38566147,1279922,0,1279922
2024-09,4717440,2028499,520000,270400,320000,180000,25000,343385,1030156,5330707,2028499,349562,14176303,1400000,1800000,22220000,7400000,32196303,39596303,1210156,0,1210156
2024-10,4626720,1989490,520000,265200,320000,180000,25000,331758,995272,5228194,1989490,342840,15351575,1400000,1800000,22040000,7400000,33191575,40591575,1175272,0,1175272
2024-11,4808160,2067509,520000,275600,320000,180000,25000,355013,1065038,5433221,2067509,356285,16596613,1400000,1800000,21860000,7400000,34256613,41656613,1245038,0,1245038
2024-12,4989600,2145528,520000,286000,320000,180000,25000,378268,1134804,5638248,2145528,369729,4000000,1400000,1800000,21680000,7400000,21480000,28880000,1314804,13911417,-12596613
2025-01,3919104,1685215,520000,208000,320000,180000,25000,245222,735667,4428588,1685215,290406,4915667,1400000,1800000,21500000,7400000,22215667,29615667,915667,0,915667
2025-02,3527196,1516694,520000,187200,320000,180000,25000,194576,583726,3985731,1516694,261365,5679393,1400000,1800000,21320000,7400000,22799393,30199393,763726,0,763726
2025-03,4996860,2148650,520000,265200,320000,180000,25000,384502,1153508,5646452,2148650,370268,7012901,1400000,1800000,21140000,7400000,23952901,31352901,1333508,0,1333508
2025-04,5192808,2232907,520000,275600,320000,180000,25000,409825,1229476,5867873,2232907,384787,8422377,1400000,1800000,20960000,7400000,25182377,32582377,1409476,0,1409476
2025-05,5388768,2317170,520000,286000,320000,180000,25000,435150,1305448,6089308,2317170,399308,9907825,1400000,1800000,20780000,7400000,26487825,33887825,1485448,0,1485448
2025-06,5143824,2211844,520000,273000,320000,180000,25000,403495,1210485,5812521,2211844,381157,11298310,1400000,1800000,20600000,7400000,27698310,35098310,1390485,0,1390485
2025-07,5290788,2275039,520000,280800,320000,180000,25000,422487,1267462,5978590,2275039,392047,12745772,1400000,1800000,20420000,7400000,28965772,36365772,1447462,0,1447462
2025-08,5290788,2275039,520000,280800,320000,180000,25000,422487,1267462,5978590,2275039,392047,14193234,1400000,1800000,20240000,7400000,30233234,37633234,1447462,0,1447462
2025-09,5094840,2190781,520000,270400,320000,180000,25000,397165,1191494,5757169,2190781,377527,15564728,1400000,1800000,20060000,7400000,31424728,38824728,1371494,0,1371494
