月份,批次,产品,投入件数或kg,良品件数或kg,损耗件数或kg,原料领用kg,电量kWh,电费元,产出单位,备注
2023-01,KS-INJECTION-1000-LOT-202301,工业塑料周转配件,288660,280000,8660,180600.0,277333,208000,件,计划口径；产能及耗用待现场验证
2023-02,KS-INJECTION-1000-LOT-202302,工业塑料周转配件,259794,252000,7794,162540.0,249600,187200,件,计划口径；产能及耗用待现场验证
2023-03,KS-INJECTION-1000-LOT-202303,工业塑料周转配件,368042,357000,11042,230265.0,353600,265200,件,计划口径；产能及耗用待现场验证
2023-04,KS-INJECTION-1000-LOT-202304,工业塑料周转配件,382475,371000,11475,239295.0,367467,275600,件,计划口径；产能及耗用待现场验证
2023-05,KS-INJECTION-1000-LOT-202305,工业塑料周转配件,396908,385000,11908,248325.0,381333,286000,件,计划口径；产能及耗用待现场验证
2023-06,KS-INJECTION-1000-LOT-202306,工业塑料周转配件,378866,367500,11366,237037.5,364000,273000,件,计划口径；产能及耗用待现场验证
2023-07,KS-INJECTION-1000-LOT-202307,工业塑料周转配件,389691,378000,11691,243810.0,374400,280800,件,计划口径；产能及耗用待现场验证
2023-08,KS-INJECTION-1000-LOT-202308,工业塑料周转配件,389691,378000,11691,243810.0,374400,280800,件,计划口径；产能及耗用待现场验证
2023-09,KS-INJECTION-1000-LOT-202309,工业塑料周转配件,375258,364000,11258,234780.0,360533,270400,件,计划口径；产能及耗用待现场验证
2023-10,KS-INJECTION-1000-LOT-202310,工业塑料周转配件,368042,357000,11042,230265.0,353600,265200,件,计划口径；产能及耗用待现场验证
2023-11,KS-INJECTION-1000-LOT-202311,工业塑料周转配件,382475,371000,11475,239295.0,367467,275600,件,计划口径；产能及耗用待现场验证
2023-12,KS-INJECTION-1000-LOT-202312,工业塑料周转配件,396908,385000,11908,248325.0,381333,286000,件,计划口径；产能及耗用待现场验证
2024-01,KS-INJECTION-1000-LOT-202401,工业塑料周转配件,311753,302400,9353,195048.0,277333,208000,件,计划口径；产能及耗用待现场验证
2024-02,KS-INJECTION-1000-LOT-202402,工业塑料周转配件,280578,272160,8418,175543.25,249600,187200,件,计划口径；产能及耗用待现场验证
2024-03,KS-INJECTION-1000-LOT-202403,工业塑料周转配件,397485,385560,11925,248686.25,353600,265200,件,计划口径；产能及耗用待现场验证
2024-04,KS-INJECTION-1000-LOT-202404,工业塑料周转配件,413073,400680,12393,258438.625,367467,275600,件,计划口径；产能及耗用待现场验证
2024-05,KS-INJECTION-1000-LOT-202405,工业塑料周转配件,428660,415800,12860,268191.0,381333,286000,件,计划口径；产能及耗用待现场验证
2024-06,KS-INJECTION-1000-LOT-202406,工业塑料周转配件,409176,396900,12276,256000.5,364000,273000,件,计划口径；产能及耗用待现场验证
2024-07,KS-INJECTION-1000-LOT-202407,工业塑料周转配件,420866,408240,12626,263314.75,374400,280800,件,计划口径；产能及耗用待现场验证
