采购号,日期,供应商,原料,数量kg,单价元kg,不含税元,税额元,价税合计元,模拟发票号,入库单号,标识
KS-INJECTION-1000-P-202301-1,2023-01-08,模拟原料商1,PP粒子,108360.0,8,866880,112694,979574,KS-INJECTION-1000-P-202301-1-INV,KS-INJECTION-1000-P-202301-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202301-2,2023-01-08,模拟原料商2,PP粒子,72240.0,8,577920,75130,653050,KS-INJECTION-1000-P-202301-2-INV,KS-INJECTION-1000-P-202301-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202302-1,2023-02-08,模拟原料商1,PP粒子,97524.0,8,780192,101425,881617,KS-INJECTION-1000-P-202302-1-INV,KS-INJECTION-1000-P-202302-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202302-2,2023-02-08,模拟原料商2,PP粒子,65016.0,8,520128,67617,587745,KS-INJECTION-1000-P-202302-2-INV,KS-INJECTION-1000-P-202302-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202303-1,2023-03-08,模拟原料商1,PP粒子,138159.0,8,1105272,143686,1248958,KS-INJECTION-1000-P-202303-1-INV,KS-INJECTION-1000-P-202303-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202303-2,2023-03-08,模拟原料商2,PP粒子,92106.0,8,736848,95790,832638,KS-INJECTION-1000-P-202303-2-INV,KS-INJECTION-1000-P-202303-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202304-1,2023-04-08,模拟原料商1,PP粒子,143577.0,8,1148616,149320,1297936,KS-INJECTION-1000-P-202304-1-INV,KS-INJECTION-1000-P-202304-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202304-2,2023-04-08,模拟原料商2,PP粒子,95718.0,8,765744,99547,865291,KS-INJECTION-1000-P-202304-2-INV,KS-INJECTION-1000-P-202304-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202305-1,2023-05-08,模拟原料商1,PP粒子,148995.0,8,1191960,154955,1346915,KS-INJECTION-1000-P-202305-1-INV,KS-INJECTION-1000-P-202305-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202305-2,2023-05-08,模拟原料商2,PP粒子,99330.0,8,794640,103303,897943,KS-INJECTION-1000-P-202305-2-INV,KS-INJECTION-1000-P-202305-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202306-1,2023-06-08,模拟原料商1,PP粒子,142222.5,8,1137780,147911,1285691,KS-INJECTION-1000-P-202306-1-INV,KS-INJECTION-1000-P-202306-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202306-2,2023-06-08,模拟原料商2,PP粒子,94815.0,8,758520,98608,857128,KS-INJECTION-1000-P-202306-2-INV,KS-INJECTION-1000-P-202306-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202307-1,2023-07-08,模拟原料商1,PP粒子,146286.0,8,1170288,152137,1322425,KS-INJECTION-1000-P-202307-1-INV,KS-INJECTION-1000-P-202307-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202307-2,2023-07-08,模拟原料商2,PP粒子,97524.0,8,780192,101425,881617,KS-INJECTION-1000-P-202307-2-INV,KS-INJECTION-1000-P-202307-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202308-1,2023-08-08,模拟原料商1,PP粒子,146286.0,8,1170288,152137,1322425,KS-INJECTION-1000-P-202308-1-INV,KS-INJECTION-1000-P-202308-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202308-2,2023-08-08,模拟原料商2,PP粒子,97524.0,8,780192,101425,881617,KS-INJECTION-1000-P-202308-2-INV,KS-INJECTION-1000-P-202308-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202309-1,2023-09-08,模拟原料商1,PP粒子,140868.0,8,1126944,146503,1273447,KS-INJECTION-1000-P-202309-1-INV,KS-INJECTION-1000-P-202309-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202309-2,2023-09-08,模拟原料商2,PP粒子,93912.0,8,751296,97668,848964,KS-INJECTION-1000-P-202309-2-INV,KS-INJECTION-1000-P-202309-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202310-1,2023-10-08,模拟原料商1,PP粒子,138159.0,8,1105272,143686,1248958,KS-INJECTION-1000-P-202310-1-INV,KS-INJECTION-1000-P-202310-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202310-2,2023-10-08,模拟原料商2,PP粒子,92106.0,8,736848,95790,832638,KS-INJECTION-1000-P-202310-2-INV,KS-INJECTION-1000-P-202310-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202311-1,2023-11-08,模拟原料商1,PP粒子,143577.0,8,1148616,149320,1297936,KS-INJECTION-1000-P-202311-1-INV,KS-INJECTION-1000-P-202311-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202311-2,2023-11-08,模拟原料商2,PP粒子,95718.0,8,765744,99547,865291,KS-INJECTION-1000-P-202311-2-INV,KS-INJECTION-1000-P-202311-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202312-1,2023-12-08,模拟原料商1,PP粒子,148995.0,8,1191960,154955,1346915,KS-INJECTION-1000-P-202312-1-INV,KS-INJECTION-1000-P-202312-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202312-2,2023-12-08,模拟原料商2,PP粒子,99330.0,8,794640,103303,897943,KS-INJECTION-1000-P-202312-2-INV,KS-INJECTION-1000-P-202312-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202401-1,2024-01-08,模拟原料商1,PP粒子,117028.75,8,936230,121710,1057940,KS-INJECTION-1000-P-202401-1-INV,KS-INJECTION-1000-P-202401-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202401-2,2024-01-08,模拟原料商2,PP粒子,78019.25,8,624154,81140,705294,KS-INJECTION-1000-P-202401-2-INV,KS-INJECTION-1000-P-202401-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202402-1,2024-02-08,模拟原料商1,PP粒子,105326.0,8,842608,109539,952147,KS-INJECTION-1000-P-202402-1-INV,KS-INJECTION-1000-P-202402-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202402-2,2024-02-08,模拟原料商2,PP粒子,70217.25,8,561738,73026,634764,KS-INJECTION-1000-P-202402-2-INV,KS-INJECTION-1000-P-202402-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202403-1,2024-03-08,模拟原料商1,PP粒子,149211.75,8,1193694,155180,1348874,KS-INJECTION-1000-P-202403-1-INV,KS-INJECTION-1000-P-202403-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202403-2,2024-03-08,模拟原料商2,PP粒子,99474.5,8,795796,103454,899250,KS-INJECTION-1000-P-202403-2-INV,KS-INJECTION-1000-P-202403-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202404-1,2024-04-08,模拟原料商1,PP粒子,155063.125,8,1240505,161266,1401771,KS-INJECTION-1000-P-202404-1-INV,KS-INJECTION-1000-P-202404-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202404-2,2024-04-08,模拟原料商2,PP粒子,103375.5,8,827004,107510,934514,KS-INJECTION-1000-P-202404-2-INV,KS-INJECTION-1000-P-202404-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202405-1,2024-05-08,模拟原料商1,PP粒子,160914.625,8,1287317,167351,1454668,KS-INJECTION-1000-P-202405-1-INV,KS-INJECTION-1000-P-202405-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202405-2,2024-05-08,模拟原料商2,PP粒子,107276.375,8,858211,111568,969779,KS-INJECTION-1000-P-202405-2-INV,KS-INJECTION-1000-P-202405-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202406-1,2024-06-08,模拟原料商1,PP粒子,153600.25,8,1228802,159745,1388547,KS-INJECTION-1000-P-202406-1-INV,KS-INJECTION-1000-P-202406-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202406-2,2024-06-08,模拟原料商2,PP粒子,102400.25,8,819202,106496,925698,KS-INJECTION-1000-P-202406-2-INV,KS-INJECTION-1000-P-202406-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202407-1,2024-07-08,模拟原料商1,PP粒子,157988.875,8,1263911,164308,1428219,KS-INJECTION-1000-P-202407-1-INV,KS-INJECTION-1000-P-202407-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202407-2,2024-07-08,模拟原料商2,PP粒子,105325.875,8,842607,109539,952146,KS-INJECTION-1000-P-202407-2-INV,KS-INJECTION-1000-P-202407-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202408-1,2024-08-08,模拟原料商1,PP粒子,157988.875,8,1263911,164308,1428219,KS-INJECTION-1000-P-202408-1-INV,KS-INJECTION-1000-P-202408-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202408-2,2024-08-08,模拟原料商2,PP粒子,105325.875,8,842607,109539,952146,KS-INJECTION-1000-P-202408-2-INV,KS-INJECTION-1000-P-202408-2-GRN,SYNTHETIC
