订单号,合同日期,客户,产品,不含税元,税额元,价税合计元,已回款元,未收元,交付日,模拟发票号,交付单号,标识
KS-INJECTION-1000-S-202301-1,2023-01-05,模拟下游1,工业塑料周转配件,1142400,148512,1290912,1290912,0,2023-01-10,KS-INJECTION-1000-S-202301-1-INV,KS-INJECTION-1000-S-202301-1-DEL,SYNTHETIC
KS-INJECTION-1000-S-202301-2,2023-01-05,模拟下游2,工业塑料周转配件,1108800,144144,1252944,1252944,0,2023-01-10,KS-INJECTION-1000-S-202301-2-INV,KS-INJECTION-1000-S-202301-2-DEL,SYNTHETIC
KS-INJECTION-1000-S-202301-3,2023-01-05,模拟下游3,工业塑料周转配件,1108800,144144,1252944,1252944,0,2023-01-10,KS-INJECTION-1000-S-202301-3-INV,KS-INJECTION-1000-S-202301-3-DEL,SYNTHETIC
KS-INJECTION-1000-S-202302-1,2023-02-05,模拟下游1,工业塑料周转配件,1028160,133661,1161821,1161821,0,2023-02-10,KS-INJECTION-1000-S-202302-1-INV,KS-INJECTION-1000-S-202302-1-DEL,SYNTHETIC
KS-INJECTION-1000-S-202302-2,2023-02-05,模拟下游2,工业塑料周转配件,997920,129730,1127650,1127650,0,2023-02-10,KS-INJECTION-1000-S-202302-2-INV,KS-INJECTION-1000-S-202302-2-DEL,SYNTHETIC
KS-INJECTION-1000-S-202302-3,2023-02-05,模拟下游3,工业塑料周转配件,997920,129729,1127649,1127649,0,2023-02-10,KS-INJECTION-1000-S-202302-3-INV,KS-INJECTION-1000-S-202302-3-DEL,SYNTHETIC
KS-INJECTION-1000-S-202303-1,2023-03-05,模拟下游1,工业塑料周转配件,1456560,189353,1645913,1645913,0,2023-03-10,KS-INJECTION-1000-S-202303-1-INV,KS-INJECTION-1000-S-202303-1-DEL,SYNTHETIC
KS-INJECTION-1000-S-202303-2,2023-03-05,模拟下游2,工业塑料周转配件,1413720,183784,1597504,1597504,0,2023-03-10,KS-INJECTION-1000-S-202303-2-INV,KS-INJECTION-1000-S-202303-2-DEL,SYNTHETIC
KS-INJECTION-1000-S-202303-3,2023-03-05,模拟下游3,工业塑料周转配件,1413720,183783,1597503,1597503,0,2023-03-10,KS-INJECTION-1000-S-202303-3-INV,KS-INJECTION-1000-S-202303-3-DEL,SYNTHETIC
KS-INJECTION-1000-S-202304-1,2023-04-05,模拟下游1,工业塑料周转配件,1513680,196778,1710458,1710458,0,2023-04-10,KS-INJECTION-1000-S-202304-1-INV,KS-INJECTION-1000-S-202304-1-DEL,SYNTHETIC
KS-INJECTION-1000-S-202304-2,2023-04-05,模拟下游2,工业塑料周转配件,1469160,190991,1660151,1660151,0,2023-04-10,KS-INJECTION-1000-S-202304-2-INV,KS-INJECTION-1000-S-202304-2-DEL,SYNTHETIC
KS-INJECTION-1000-S-202304-3,2023-04-05,模拟下游3,工业塑料周转配件,1469160,190991,1660151,1660151,0,2023-04-10,KS-INJECTION-1000-S-202304-3-INV,KS-INJECTION-1000-S-202304-3-DEL,SYNTHETIC
KS-INJECTION-1000-S-202305-1,2023-05-05,模拟下游1,工业塑料周转配件,1570800,204204,1775004,1775004,0,2023-05-10,KS-INJECTION-1000-S-202305-1-INV,KS-INJECTION-1000-S-202305-1-DEL,SYNTHETIC
KS-INJECTION-1000-S-202305-2,2023-05-05,模拟下游2,工业塑料周转配件,1524600,198198,1722798,1722798,0,2023-05-10,KS-INJECTION-1000-S-202305-2-INV,KS-INJECTION-1000-S-202305-2-DEL,SYNTHETIC
KS-INJECTION-1000-S-202305-3,2023-05-05,模拟下游3,工业塑料周转配件,1524600,198198,1722798,1722798,0,2023-05-10,KS-INJECTION-1000-S-202305-3-INV,KS-INJECTION-1000-S-202305-3-DEL,SYNTHETIC
KS-INJECTION-1000-S-202306-1,2023-06-05,模拟下游1,工业塑料周转配件,1499400,194922,1694322,1694322,0,2023-06-10,KS-INJECTION-1000-S-202306-1-INV,KS-INJECTION-1000-S-202306-1-DEL,SYNTHETIC
KS-INJECTION-1000-S-202306-2,2023-06-05,模拟下游2,工业塑料周转配件,1455300,189189,1644489,1644489,0,2023-06-10,KS-INJECTION-1000-S-202306-2-INV,KS-INJECTION-1000-S-202306-2-DEL,SYNTHETIC
KS-INJECTION-1000-S-202306-3,2023-06-05,模拟下游3,工业塑料周转配件,1455300,189189,1644489,1644489,0,2023-06-10,KS-INJECTION-1000-S-202306-3-INV,KS-INJECTION-1000-S-202306-3-DEL,SYNTHETIC
KS-INJECTION-1000-S-202307-1,2023-07-05,模拟下游1,工业塑料周转配件,1542240,200491,1742731,1742731,0,2023-07-10,KS-INJECTION-1000-S-202307-1-INV,KS-INJECTION-1000-S-202307-1-DEL,SYNTHETIC
KS-INJECTION-1000-S-202307-2,2023-07-05,模拟下游2,工业塑料周转配件,1496880,194594,1691474,1691474,0,2023-07-10,KS-INJECTION-1000-S-202307-2-INV,KS-INJECTION-1000-S-202307-2-DEL,SYNTHETIC
KS-INJECTION-1000-S-202307-3,2023-07-05,模拟下游3,工业塑料周转配件,1496880,194595,1691475,1691475,0,2023-07-10,KS-INJECTION-1000-S-202307-3-INV,KS-INJECTION-1000-S-202307-3-DEL,SYNTHETIC
KS-INJECTION-1000-S-202308-1,2023-08-05,模拟下游1,工业塑料周转配件,1542240,200491,1742731,1742731,0,2023-08-10,KS-INJECTION-1000-S-202308-1-INV,KS-INJECTION-1000-S-202308-1-DEL,SYNTHETIC
