订单号,合同日期,客户,产品,不含税元,税额元,价税合计元,已回款元,未收元,交付日,模拟发票号,交付单号,标识
KS-LASER-500-S-202301-1,2023-01-05,模拟下游1,标准金属加工件,736000,95680,831680,827522,4158,2023-01-10,KS-LASER-500-S-202301-1-INV,KS-LASER-500-S-202301-1-DEL,SYNTHETIC
KS-LASER-500-S-202301-2,2023-01-05,模拟下游2,标准金属加工件,644000,83720,727720,724081,3639,2023-01-10,KS-LASER-500-S-202301-2-INV,KS-LASER-500-S-202301-2-DEL,SYNTHETIC
KS-LASER-500-S-202301-3,2023-01-05,模拟下游3,标准金属加工件,460000,59800,519800,517201,2599,2023-01-10,KS-LASER-500-S-202301-3-INV,KS-LASER-500-S-202301-3-DEL,SYNTHETIC
KS-LASER-500-S-202302-1,2023-02-05,模拟下游1,标准金属加工件,662400,86112,748512,744769,3743,2023-02-10,KS-LASER-500-S-202302-1-INV,KS-LASER-500-S-202302-1-DEL,SYNTHETIC
KS-LASER-500-S-202302-2,2023-02-05,模拟下游2,标准金属加工件,579600,75348,654948,651673,3275,2023-02-10,KS-LASER-500-S-202302-2-INV,KS-LASER-500-S-202302-2-DEL,SYNTHETIC
KS-LASER-500-S-202302-3,2023-02-05,模拟下游3,标准金属加工件,414000,53820,467820,465481,2339,2023-02-10,KS-LASER-500-S-202302-3-INV,KS-LASER-500-S-202302-3-DEL,SYNTHETIC
KS-LASER-500-S-202303-1,2023-03-05,模拟下游1,标准金属加工件,938400,121992,1060392,1055090,5302,2023-03-10,KS-LASER-500-S-202303-1-INV,KS-LASER-500-S-202303-1-DEL,SYNTHETIC
KS-LASER-500-S-202303-2,2023-03-05,模拟下游2,标准金属加工件,821100,106743,927843,923204,4639,2023-03-10,KS-LASER-500-S-202303-2-INV,KS-LASER-500-S-202303-2-DEL,SYNTHETIC
KS-LASER-500-S-202303-3,2023-03-05,模拟下游3,标准金属加工件,586500,76245,662745,659431,3314,2023-03-10,KS-LASER-500-S-202303-3-INV,KS-LASER-500-S-202303-3-DEL,SYNTHETIC
KS-LASER-500-S-202304-1,2023-04-05,模拟下游1,标准金属加工件,975200,126776,1101976,1096466,5510,2023-04-10,KS-LASER-500-S-202304-1-INV,KS-LASER-500-S-202304-1-DEL,SYNTHETIC
