月份,人数,人工费用元,平均人工元,代发关联单,口径
2023-01,28,140000,5000.0,KS-TEXTILE-200-PAY-202301,汇总模拟；工资社保均计入人工费用
2023-02,28,140000,5000.0,KS-TEXTILE-200-PAY-202302,汇总模拟；工资社保均计入人工费用
2023-03,28,140000,5000.0,KS-TEXTILE-200-PAY-202303,汇总模拟；工资社保均计入人工费用
2023-04,28,140000,5000.0,KS-TEXTILE-200-PAY-202304,汇总模拟；工资社保均计入人工费用
2023-05,28,140000,5000.0,KS-TEXTILE-200-PAY-202305,汇总模拟；工资社保均计入人工费用
2023-06,28,140000,5000.0,KS-TEXTILE-200-PAY-202306,汇总模拟；工资社保均计入人工费用
2023-07,28,140000,5000.0,KS-TEXTILE-200-PAY-202307,汇总模拟；工资社保均计入人工费用
2023-08,28,140000,5000.0,KS-TEXTILE-200-PAY-202308,汇总模拟；工资社保均计入人工费用
2023-09,28,140000,5000.0,KS-TEXTILE-200-PAY-202309,汇总模拟；工资社保均计入人工费用
2023-10,28,140000,5000.0,KS-TEXTILE-200-PAY-202310,汇总模拟；工资社保均计入人工费用
2023-11,28,140000,5000.0,KS-TEXTILE-200-PAY-202311,汇总模拟；工资社保均计入人工费用
2023-12,28,140000,5000.0,KS-TEXTILE-200-PAY-202312,汇总模拟；工资社保均计入人工费用
2024-01,28,140000,5000.0,KS-TEXTILE-200-PAY-202401,汇总模拟；工资社保均计入人工费用
2024-02,28,140000,5000.0,KS-TEXTILE-200-PAY-202402,汇总模拟；工资社保均计入人工费用
2024-03,28,140000,5000.0,KS-TEXTILE-200-PAY-202403,汇总模拟；工资社保均计入人工费用
2024-04,28,140000,5000.0,KS-TEXTILE-200-PAY-202404,汇总模拟；工资社保均计入人工费用
2024-05,28,140000,5000.0,KS-TEXTILE-200-PAY-202405,汇总模拟；工资社保均计入人工费用
2024-06,28,140000,5000.0,KS-TEXTILE-200-PAY-202406,汇总模拟；工资社保均计入人工费用
2024-07,28,140000,5000.0,KS-TEXTILE-200-PAY-202407,汇总模拟；工资社保均计入人工费用
2024-08,28,140000,5000.0,KS-TEXTILE-200-PAY-202408,汇总模拟；工资社保均计入人工费用
2024-09,28,140000,5000.0,KS-TEXTILE-200-PAY-202409,汇总模拟；工资社保均计入人工费用
2024-10,28,140000,5000.0,KS-TEXTILE-200-PAY-202410,汇总模拟；工资社保均计入人工费用
2024-11,28,140000,5000.0,KS-TEXTILE-200-PAY-202411,汇总模拟；工资社保均计入人工费用
2024-12,28,140000,5000.0,KS-TEXTILE-200-PAY-202412,汇总模拟；工资社保均计入人工费用
2025-01,28,140000,5000.0,KS-TEXTILE-200-PAY-202501,汇总模拟；工资社保均计入人工费用
2025-02,28,140000,5000.0,KS-TEXTILE-200-PAY-202502,汇总模拟；工资社保均计入人工费用
2025-03,28,140000,5000.0,KS-TEXTILE-200-PAY-202503,汇总模拟；工资社保均计入人工费用
2025-04,28,140000,5000.0,KS-TEXTILE-200-PAY-202504,汇总模拟；工资社保均计入人工费用
2025-05,28,140000,5000.0,KS-TEXTILE-200-PAY-202505,汇总模拟；工资社保均计入人工费用
2025-06,28,140000,5000.0,KS-TEXTILE-200-PAY-202506,汇总模拟；工资社保均计入人工费用
2025-07,28,140000,5000.0,KS-TEXTILE-200-PAY-202507,汇总模拟；工资社保均计入人工费用
2025-08,28,140000,5000.0,KS-TEXTILE-200-PAY-202508,汇总模拟；工资社保均计入人工费用
2025-09,28,140000,5000.0,KS-TEXTILE-200-PAY-202509,汇总模拟；工资社保均计入人工费用
2025-10,28,140000,5000.0,KS-TEXTILE-200-PAY-202510,汇总模拟；工资社保均计入人工费用
2025-11,28,140000,5000.0,KS-TEXTILE-200-PAY-202511,汇总模拟；工资社保均计入人工费用
2025-12,28,140000,5000.0,KS-TEXTILE-200-PAY-202512,汇总模拟；工资社保均计入人工费用
2026-01,28,140000,5000.0,KS-TEXTILE-200-PAY-202601,汇总模拟；工资社保均计入人工费用
2026-02,28,140000,5000.0,KS-TEXTILE-200-PAY-202602,汇总模拟；工资社保均计入人工费用
2026-03,28,140000,5000.0,KS-TEXTILE-200-PAY-202603,汇总模拟；工资社保均计入人工费用
2026-04,28,140000,5000.0,KS-TEXTILE-200-PAY-202604,汇总模拟；工资社保均计入人工费用
2026-05,28,140000,5000.0,KS-TEXTILE-200-PAY-202605,汇总模拟；工资社保均计入人工费用
2026-06,28,140000,5000.0,KS-TEXTILE-200-PAY-202606,汇总模拟；工资社保均计入人工费用
2026-07,28,140000,5000.0,KS-TEXTILE-200-PAY-202607,汇总模拟；工资社保均计入人工费用
2026-08,28,140000,5000.0,KS-TEXTILE-200-PAY-202608,汇总模拟；工资社保均计入人工费用
