月份,批次,产品,投入件数或kg,良品件数或kg,损耗件数或kg,原料领用kg,电量kWh,电费元,产出单位,备注
2023-01,KS-TEXTILE-200-LOT-202301,棉纱,72728,65455,7273,62400.4,117333,88000,kg,计划口径；产能及耗用待现场验证
2023-02,KS-TEXTILE-200-LOT-202302,棉纱,65455,58909,6546,56159.933,105600,79200,kg,计划口径；产能及耗用待现场验证
2023-03,KS-TEXTILE-200-LOT-202303,棉纱,92728,83455,9273,79560.4,149600,112200,kg,计划口径；产能及耗用待现场验证
2023-04,KS-TEXTILE-200-LOT-202304,棉纱,96364,86727,9637,82679.733,155467,116600,kg,计划口径；产能及耗用待现场验证
2023-05,KS-TEXTILE-200-LOT-202305,棉纱,100000,90000,10000,85800.0,161333,121000,kg,计划口径；产能及耗用待现场验证
2023-06,KS-TEXTILE-200-LOT-202306,棉纱,95455,85909,9546,81899.933,154000,115500,kg,计划口径；产能及耗用待现场验证
2023-07,KS-TEXTILE-200-LOT-202307,棉纱,98183,88364,9819,84240.333,158400,118800,kg,计划口径；产能及耗用待现场验证
2023-08,KS-TEXTILE-200-LOT-202308,棉纱,98183,88364,9819,84240.333,158400,118800,kg,计划口径；产能及耗用待现场验证
2023-09,KS-TEXTILE-200-LOT-202309,棉纱,94546,85091,9455,81120.067,152533,114400,kg,计划口径；产能及耗用待现场验证
2023-10,KS-TEXTILE-200-LOT-202310,棉纱,92728,83455,9273,79560.4,149600,112200,kg,计划口径；产能及耗用待现场验证
2023-11,KS-TEXTILE-200-LOT-202311,棉纱,96364,86727,9637,82679.733,155467,116600,kg,计划口径；产能及耗用待现场验证
2023-12,KS-TEXTILE-200-LOT-202312,棉纱,100000,90000,10000,85800.0,161333,121000,kg,计划口径；产能及耗用待现场验证
2024-01,KS-TEXTILE-200-LOT-202401,棉纱,66909,60218,6691,57407.8,117333,88000,kg,计划口径；产能及耗用待现场验证
2024-02,KS-TEXTILE-200-LOT-202402,棉纱,60218,54196,6022,51666.867,105600,79200,kg,计划口径；产能及耗用待现场验证
2024-03,KS-TEXTILE-200-LOT-202403,棉纱,85309,76778,8531,73195.0,149600,112200,kg,计划口径；产能及耗用待现场验证
2024-04,KS-TEXTILE-200-LOT-202404,棉纱,88655,79789,8866,76065.533,155467,116600,kg,计划口径；产能及耗用待现场验证
2024-05,KS-TEXTILE-200-LOT-202405,棉纱,92000,82800,9200,78936.0,161333,121000,kg,计划口径；产能及耗用待现场验证
2024-06,KS-TEXTILE-200-LOT-202406,棉纱,87818,79036,8782,75347.667,154000,115500,kg,计划口径；产能及耗用待现场验证
2024-07,KS-TEXTILE-200-LOT-202407,棉纱,90328,81295,9033,77501.2,158400,118800,kg,计划口径；产能及耗用待现场验证
2024-08,KS-TEXTILE-200-LOT-202408,棉纱,90328,81295,9033,77501.2,158400,118800,kg,计划口径；产能及耗用待现场验证
2024-09,KS-TEXTILE-200-LOT-202409,棉纱,86983,78284,8699,74630.733,152533,114400,kg,计划口径；产能及耗用待现场验证
2024-10,KS-TEXTILE-200-LOT-202410,棉纱,85309,76778,8531,73195.0,149600,112200,kg,计划口径；产能及耗用待现场验证
2024-11,KS-TEXTILE-200-LOT-202411,棉纱,88655,79789,8866,76065.533,155467,116600,kg,计划口径；产能及耗用待现场验证
2024-12,KS-TEXTILE-200-LOT-202412,棉纱,92000,82800,9200,78936.0,161333,121000,kg,计划口径；产能及耗用待现场验证
2025-01,KS-TEXTILE-200-LOT-202501,棉纱,61557,55401,6156,52815.6,117333,88000,kg,计划口径；产能及耗用待现场验证
2025-02,KS-TEXTILE-200-LOT-202502,棉纱,55402,49861,5541,47534.133,105600,79200,kg,计划口径；产能及耗用待现场验证
2025-03,KS-TEXTILE-200-LOT-202503,棉纱,78485,70636,7849,67339.667,149600,112200,kg,计划口径；产能及耗用待现场验证
2025-04,KS-TEXTILE-200-LOT-202504,棉纱,81563,73406,8157,69980.4,155467,116600,kg,计划口径；产能及耗用待现场验证
2025-05,KS-TEXTILE-200-LOT-202505,棉纱,84640,76176,8464,72621.133,161333,121000,kg,计划口径；产能及耗用待现场验证
2025-06,KS-TEXTILE-200-LOT-202506,棉纱,80793,72713,8080,69319.733,154000,115500,kg,计划口径；产能及耗用待现场验证
2025-07,KS-TEXTILE-200-LOT-202507,棉纱,83102,74791,8311,71300.733,158400,118800,kg,计划口径；产能及耗用待现场验证
