采购号,日期,供应商,原料,数量kg,单价元kg,不含税元,税额元,价税合计元,模拟发票号,入库单号,标识
KS-TEXTILE-200-P-202301-1,2023-01-08,模拟原料商1,皮棉,37440.267,15,561604,73009,634613,KS-TEXTILE-200-P-202301-1-INV,KS-TEXTILE-200-P-202301-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202301-2,2023-01-08,模拟原料商2,皮棉,24960.133,15,374402,48672,423074,KS-TEXTILE-200-P-202301-2-INV,KS-TEXTILE-200-P-202301-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202302-1,2023-02-08,模拟原料商1,皮棉,33695.933,15,505439,65707,571146,KS-TEXTILE-200-P-202302-1-INV,KS-TEXTILE-200-P-202302-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202302-2,2023-02-08,模拟原料商2,皮棉,22464.0,15,336960,43805,380765,KS-TEXTILE-200-P-202302-2-INV,KS-TEXTILE-200-P-202302-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202303-1,2023-03-08,模拟原料商1,皮棉,47736.267,15,716044,93086,809130,KS-TEXTILE-200-P-202303-1-INV,KS-TEXTILE-200-P-202303-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202303-2,2023-03-08,模拟原料商2,皮棉,31824.133,15,477362,62057,539419,KS-TEXTILE-200-P-202303-2-INV,KS-TEXTILE-200-P-202303-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202304-1,2023-04-08,模拟原料商1,皮棉,49607.867,15,744118,96735,840853,KS-TEXTILE-200-P-202304-1-INV,KS-TEXTILE-200-P-202304-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202304-2,2023-04-08,模拟原料商2,皮棉,33071.867,15,496078,64490,560568,KS-TEXTILE-200-P-202304-2-INV,KS-TEXTILE-200-P-202304-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202305-1,2023-05-08,模拟原料商1,皮棉,51480.0,15,772200,100386,872586,KS-TEXTILE-200-P-202305-1-INV,KS-TEXTILE-200-P-202305-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202305-2,2023-05-08,模拟原料商2,皮棉,34320.0,15,514800,66924,581724,KS-TEXTILE-200-P-202305-2-INV,KS-TEXTILE-200-P-202305-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202306-1,2023-06-08,模拟原料商1,皮棉,49139.933,15,737099,95823,832922,KS-TEXTILE-200-P-202306-1-INV,KS-TEXTILE-200-P-202306-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202306-2,2023-06-08,模拟原料商2,皮棉,32760.0,15,491400,63882,555282,KS-TEXTILE-200-P-202306-2-INV,KS-TEXTILE-200-P-202306-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202307-1,2023-07-08,模拟原料商1,皮棉,50544.2,15,758163,98561,856724,KS-TEXTILE-200-P-202307-1-INV,KS-TEXTILE-200-P-202307-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202307-2,2023-07-08,模拟原料商2,皮棉,33696.133,15,505442,65708,571150,KS-TEXTILE-200-P-202307-2-INV,KS-TEXTILE-200-P-202307-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202308-1,2023-08-08,模拟原料商1,皮棉,50544.2,15,758163,98561,856724,KS-TEXTILE-200-P-202308-1-INV,KS-TEXTILE-200-P-202308-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202308-2,2023-08-08,模拟原料商2,皮棉,33696.133,15,505442,65708,571150,KS-TEXTILE-200-P-202308-2-INV,KS-TEXTILE-200-P-202308-2-GRN,SYNTHETIC
