订单号,合同日期,客户,产品,不含税元,税额元,价税合计元,已回款元,未收元,交付日,模拟发票号,交付单号,标识
KS-TEXTILE-200-S-202301-1,2023-01-05,模拟下游1,棉纱,936006,121681,1057687,1047110,10577,2023-01-10,KS-TEXTILE-200-S-202301-1-INV,KS-TEXTILE-200-S-202301-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202301-2,2023-01-05,模拟下游2,棉纱,360002,46800,406802,402734,4068,2023-01-10,KS-TEXTILE-200-S-202301-2-INV,KS-TEXTILE-200-S-202301-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202301-3,2023-01-05,模拟下游3,棉纱,144002,18720,162722,161095,1627,2023-01-10,KS-TEXTILE-200-S-202301-3-INV,KS-TEXTILE-200-S-202301-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202302-1,2023-02-05,模拟下游1,棉纱,842399,109512,951911,942392,9519,2023-02-10,KS-TEXTILE-200-S-202302-1-INV,KS-TEXTILE-200-S-202302-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202302-2,2023-02-05,模拟下游2,棉纱,324000,42120,366120,362459,3661,2023-02-10,KS-TEXTILE-200-S-202302-2-INV,KS-TEXTILE-200-S-202302-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202302-3,2023-02-05,模拟下游3,棉纱,129599,16848,146447,144983,1464,2023-02-10,KS-TEXTILE-200-S-202302-3-INV,KS-TEXTILE-200-S-202302-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202303-1,2023-03-05,模拟下游1,棉纱,1193406,155143,1348549,1335064,13485,2023-03-10,KS-TEXTILE-200-S-202303-1-INV,KS-TEXTILE-200-S-202303-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202303-2,2023-03-05,模拟下游2,棉纱,459002,59670,518672,513485,5187,2023-03-10,KS-TEXTILE-200-S-202303-2-INV,KS-TEXTILE-200-S-202303-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202303-3,2023-03-05,模拟下游3,棉纱,183602,23868,207470,205395,2075,2023-03-10,KS-TEXTILE-200-S-202303-3-INV,KS-TEXTILE-200-S-202303-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202304-1,2023-04-05,模拟下游1,棉纱,1240196,161225,1401421,1387407,14014,2023-04-10,KS-TEXTILE-200-S-202304-1-INV,KS-TEXTILE-200-S-202304-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202304-2,2023-04-05,模拟下游2,棉纱,476998,62010,539008,533618,5390,2023-04-10,KS-TEXTILE-200-S-202304-2-INV,KS-TEXTILE-200-S-202304-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202304-3,2023-04-05,模拟下游3,棉纱,190800,24804,215604,213448,2156,2023-04-10,KS-TEXTILE-200-S-202304-3-INV,KS-TEXTILE-200-S-202304-3-DEL,SYNTHETIC
